Chương 1. Đa thức · lớp 8 · 49 dạng · 505 câu


### [1] Bài 1. Đơn thức | Rút gọn và tính giá trị biểu thức (3)
    yêu cầu: Thực hiện được việc thu gọn và tính giá trị của biểu thức đại số tại các giá trị cho trước của biến.
  y5s8 NLC 1 | Tích của hai đơn thức 6x^2yz và -2y^2z^2 là đơn thức
  4ufz DS 2 | Đúng điền Đ, sai điền S: Hệ số của biểu thức xyz\cdot(-2)^{-2}\cdot(xyz)^2 là 4.
  58x0 NLC 1 | Kết quả phép tính (3xy).(4x^2y) bằng:

### [2] Bài 1. Đơn thức | Thu gọn đa thức (24)
    yêu cầu: Thực hiện được việc thu gọn đơn thức và nhận biết được đơn thức thu gọn.
  fct8 TL 2 | Cho các đơn thức: A = 4x(-2)x^2y; B = 12,75xyz; C = (1 + 2 \cdot 4,5)x^2y\frac{1}{5}y^3; D = (2 - \sqrt{5})x. 
  9z7i TL 2 | Thu gọn đa thức sau: B=-2xy+\frac{3}{2}xy^2+\frac{1}{2}xy^2+xy.
  1423 TL 2 | Thu gọn đa thức sau: C=x^2+y^2+z^2+x^2-y^2+z^2+x^2+y^2-z^2.
  xuhc TL 2 | Thu gọn đa thức sau: D=xy^2z+2xy^2z-xyz-3xy^2z+xy^2z.
  pcfq TL 2 | Thu gọn đa thức sau: A=2x^2yz+xy-x^2yz+4xy+6.
  29ug TL 2 | Thu gọn đa thức sau: B=4xy+\frac{1}{2}x^2y-xy+\frac{3}{2}x^2y.
  8xda TL 2 | Thu gọn đa thức sau: D=2x^2yz+4xy^2z-5x^2yz+xy^2z-xyz.
  o4u2 TL 2 | Thu gọn đa thức sau: E=2x^2y^3+3x^4-7x^2+6x^4-x^2y^3.
  4xph TL 2 | Thu gọn mỗi đơn thức sau: 2xy\cdot\frac{4}{5}x^2y^3\cdot 10xyz.
  vre3 TL 2 | Thu gọn mỗi đơn thức sau: \frac{4}{3}x^2y^2z^2\cdot\frac{3}{4}xyz.
  b3xu TL 2 | Thu gọn đa thức sau: D=\frac{3}{4}xy^2-2xy-\frac{1}{2}xy^2+3xy.
  4fm5 TL 2 | Thu gọn đa thức sau: E=2x^2-3y^3-z^4-4x^2+2y^3+3z^4.
  lazp TL 2 | Thu gọn đa thức sau: F=3xy^2z+xy^2z-xyz+2xy^2z-3xyz.
  owly TL 2 | Thu gọn mỗi đơn thức sau: -10y^2\cdot(2xy)^3\cdot(-x)^2.
  ehm0 TL 2 | Thu gọn mỗi đơn thức sau (với a,b là hằng số): -4a^2x\cdot(-2bxy)^2\cdot(-\frac{1}{4}x^2y^3).
  tk08 TL 2 | Thu gọn mỗi đơn thức sau: 2xy^2\cdot\frac{4}{3}x^2y^3\cdot 6x.
  ylao TL 2 | Thu gọn mỗi đơn thức sau: 2x^2y\cdot 3xy^2.
  bkrv TL 2 | Thu gọn đa thức sau: C=4x^2y^3+x^4-2x^2+6x^4-x^2y^3.
  1oci TL 2 | Thực hiện phép tính: -\frac{1}{3}x^2y\cdot\frac{3}{2}xy^3.
  2z37 TL 2 | Thực hiện phép tính: \frac{3}{4}\cdot(x^3y^2)^2.
  xwxl TL 2 | Thực hiện phép tính: x^2\cdot(-\frac{1}{4}y)\cdot(\frac{1}{2}x^2).
  xknq TL 2 | Thực hiện phép tính (với b là hằng số): (-\frac{1}{2}x)^2(by)^2.
  cbfd TL 2 | Thu gọn các đơn thức sau rồi chỉ rõ hệ số, phần biến và bậc của đơn thức đó: a) \frac{3}{4}xy^2z \cdot (\frac{
  b6mt TL 2 | Thu gọn đa thức sau: A=-x^2y-2xy+2x^2y+5xy+2.

### [3] Bài 1. Đơn thức | Tính giá trị của đa thức (14)
