Chương 2. Hằng đẳng thức đáng nhớ và ứng dụng · lớp 8 · 38 dạng · 377 câu


### [1] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Tìm giá trị nhỏ nhất, lớn nhất (30)
    yêu cầu: Vận dụng được hằng đẳng thức bình phương của một tổng hoặc một hiệu để tìm giá trị lớn nhất hoặc nhỏ nhất của biểu thức.
  x22i TL 3 | Tìm giá trị nhỏ nhất của biểu thức Q=5x^2-10x.
  ap5v TL 3 | Tìm giá trị lớn nhất của biểu thức P=x-x^2-1.
  nbbe TL 4 | (Đề thi HSG lớp 8, huyện Thái Thụy, tỉnh Thái Bình, năm 2016). Tìm giá trị nhỏ nhất của biểu thức A = (x-1)(2x
  pfm8 TL 4 | (Đề thi HSG8, Phòng GD Tam Dương, Vĩnh Phúc, 2018). Tìm giá trị nhỏ nhất của biểu thức C = \sqrt{16x^2+8x+1} +
  qoja TL 4 | (Đề thi học sinh giỏi 8, tỉnh Khánh Hòa, năm 2017). Tìm giá trị nhỏ nhất của biểu thức P = x^4+2x^3+3x^2+2x+1.
  rvbc NLC 3 | Giá trị nhỏ nhất của biểu thức M = x^2 - 4x + 10 là
  3m9n TL 3 | Tìm giá trị nhỏ nhất của biểu thức sau: B = x^2 - x + 1.
  klaj TL 3 | Tìm giá trị nhỏ nhất của biểu thức sau: A = x^2 - 2x + 5.
  18lr TL 4 | Tìm giá trị nhỏ nhất của biểu thức sau: D = (x-1)(x+2)(x+3)(x+6).
  0rq7 TL 3 | Tìm giá trị lớn nhất của biểu thức sau: A = -x^2 - 4x - 2.
  w9tj TL 3 | Tìm giá trị lớn nhất của biểu thức sau: B = (2-x)(x+4).
  8uyo TL 4 | Tìm giá trị lớn nhất của biểu thức sau: D = -5x^2 + 4xy - y^2 + 1.
  5lm2 TL 3 | Tìm giá trị nhỏ nhất của biểu thức: C=x^2-4x+y^2-8y+6.
  fk9w TL 4 | Tìm giá trị nhỏ nhất của biểu thức: D=(2x-1)(x+2)(2x+1)(x+3).
  vtq6 TL 3 | Tìm giá trị lớn nhất của biểu thức: B=4x-2x^2+1.
  kurr TL 3 | Tìm giá trị nhỏ nhất của biểu thức: A=x^2+6x+7.
  3zuk TL 3 | Tìm giá trị lớn nhất của biểu thức: C=12x-8y-4x^2-y^2+1.
  0r2d TL 4 | Tìm giá trị lớn nhất của biểu thức: D=-x(x-3)(x-4)(x-7)+10.
  qoht TL 3 | Tìm giá trị nhỏ nhất của biểu thức sau: A=4x^2-4x+3.
  4cn4 TL 3 | Tìm giá trị lớn nhất của biểu thức sau: B=(x+3)(2-x)-7.
  5ofd TL 3 | Tìm giá trị nhỏ nhất của biểu thức sau: M=x^2+2y^2+2xy-2x-6y+2025.
  lfvc TL 4 | Về nhà: Tìm GTNN của biểu thức P=x^2+2y^2+4x-10y-2xy+28.
  zqfv TL 4 | Về nhà: Tìm GTNN của biểu thức Q=2x^2+9y^2-6xy-6x-12y+2015.
  11ef NLC 3 | Cho biểu thức K=x^2-6x+y^2-4y+6 có giá trị nhỏ nhất là:
  ezow TL 3 | Tìm giá trị lớn nhất, giá trị nhỏ nhất (nếu có) của các biểu thức sau:  A = x^2 - 2x + 9  B = x^2 + 6x - 3  C 
  d90x TL 3 | Tìm giá trị lớn nhất của biểu thức sau: C = -4x^2 - 8x + 10.
  1cps TL 4 | Tìm giá trị nhỏ nhất của biểu thức sau: C = x^2 + 5y^2 - 2xy + 4y + 3.
  j809 TL 4 | (Đề thi KĐCL, Thanh Chương, tỉnh Nghệ An, năm 2013). Tìm giá trị nhỏ nhất của biểu thức A = 2x^2+3y^2+4xy-8x-2
  bn95 TL 4 | Tìm giá trị nhỏ nhất của biểu thức M=10x^2+y^2+2xy+10x+4y+10
  oktj TL 3 | Bạn Nam muốn làm một khung ảnh hình chữ nhật và sử dụng các dây trang trí xung quanh phần khung đó. Biết độ dà

### [2] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Chứng minh chia hết (6)
    yêu cầu: Vận dụng được hằng đẳng thức bình phương của một tổng hoặc một hiệu để giải quyết bài toán chứng minh chia hết.
  921j TL 1 | Chứng minh rằng với mọi số tự nhiên n, ta có: (n + 3)^2 - (n - 1)^2 chia hết cho 8.
  n8yb TL 2 | Chứng minh rằng với mọi số tự nhiên n, biểu thức (n + 4)^2 - n^2 chia hết cho 8.
  ivbv TL 3 | Chứng minh với mọi n thì A = (4n+3)^2-25 chia hết cho 8.
  w0bd TL 4 | (Đề thi KĐCL, Thanh Chương, Nghệ An năm 2013). Cho hai số chính phương liên tiếp. Chứng minh rằng tổng của hai
  97my TL 3 | Chứng minh rằng hiệu các bình phương của hai số chẵn liên tiếp chia hết cho 4.
  62ov TL 4 | *. Cho ba số nguyên  a; b; c có tổng chia hết cho  6. Chứng minh rằng biểu thức  M = (a + b)(b + c)(c + a) - 2

### [3] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Chứng minh giá trị của biểu thức không phụ thuộc vào các biến (2)
    yêu cầu: Vận dụng được các hằng đẳng thức bình phương của một tổng hoặc một hiệu và hiệu hai bình phương để biến đổi, rút gọn biểu thức đại số về một
  lwd5 TL 3 | Chứng minh giá trị của biểu thức sau không phụ thuộc vào giá trị của các biến: C = (x+y-z-t)^2 - (z+t-x-y)^2.
  mlvn TL 3 | Chứng minh các biểu thức sau không phụ thuộc vào biến:  M = 5x(x - 5y) + (y - 5x)(-5y) - 1 - 5(x^2 - y^2)  N =

### [4] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Vận dụng hằng đẳng thức để tính (78)
    yêu cầu: Thực hiện được việc khai triển hoặc viết gọn các biểu thức đại số bằng cách sử dụng các hằng đẳng thức bình phương của một tổng, một hiệu và
  24bt NLC 1 | Tích (2x-3)(2x+3) có kết quả bằng:
  bcti NLC 2 | Điền vào chỗ trống: (\frac{1}{2}x - y)^2 = \frac{1}{4}x^2 - \ldots + y^2
  tvs3 TL 1 | Tính nhanh: a) 48 \cdot 52; b) 104^2.
  j905 TL 1 | Tính nhanh: a) 67 \cdot 73; b) 305^2.
  p80m TL 1 | Viết các biểu thức sau dưới dạng bình phương của một tổng hoặc một hiệu: a) x^2 + 6x + 9; b) 9a^2 - 12ab + 4b^
  bfb2 TL 1 | Viết các biểu thức sau dưới dạng bình phương của một tổng hoặc một hiệu: a) x^2 - 10x + 25; b) 25x^2 + 20xy + 
  sl20 NLC 1 | Biểu thức thích hợp cần điền vào [?] trong đẳng thức (3x - y)(3x + y) = [?] - y^2 là
  i5v4 NLC 2 | Biểu thức thích hợp cần điền vào [?] trong đẳng thức x^2 + 6xy + [?] = (x + 3y)^2 là
  cqc3 NLC 2 | Biểu thức thích hợp điền vào hai vị trí [?_1] và [?_2] trong đẳng thức [?_1] - 12xy + 9y^2 = (2x - [?_2])^2 lầ
  edlk NLC 2 | Cặp biểu thức (A, B) thỏa mãn đẳng thức 16x^2 - 24xy + A = (B - 3y)^2 là
  iysc TL 1 | Tính: (x - 5y^2)(x^2 + 5xy^2 + 25y^4).
  fxxj TL 1 | Áp dụng hằng đẳng thức hiệu hai bình phương để tính 5^2-4^2.
  ipgo TL 2 | Tính nhanh giá trị của biểu thức: D=50^2-49 \cdot 51.
  thqz TL 1 | Điền các đơn thức hoặc các phép tính thích hợp vào ô trống: (2x+3)^2 = 4x^2 + [?] + 9.
  bdet TL 2 | Tính giá trị biểu thức: 950^2-850^2.
  0f4x TL 2 | Tính giá trị biểu thức: 150^2-50^2.
  rv2r TL 2 | Tính giá trị biểu thức: (2h+2)^2-2(2h+2)(h-8)+(h-8)^2 với h=-5.
  wsxo TL 1 | Tính: (4x + 7)^2.
  abk3 TL 1 | Tính: (6x - \frac{1}{3}y)^2.
  4xig TL 1 | Tính: (3x^2 - 5xy^3)(3x^2 + 5xy^3).
  p4m8 NLC 1 | Điền vào chỗ trống sau: (x+2)^2 = x^2 + [?] + 4.
  ors9 NLC 1 | Kết quả của (x-1)^2 = ??
  y9a2 NLC 1 | Kết quả của x^2-2^2 = ??
  difc TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: (x+\frac{1}{2})^2 = [?]^2 + [?] \cdot x \cdot [?] +
  85hi NLC 2 | Dạng hiệu hai bình phương của biểu thức (x^2-4y)(x^2+4y) là
  sq7p NLC 3 | Kết quả của biểu thức 3(2^2+1)(2^4+1)(2^8+1)(2^{16}+1)(2^{32}+1) là:
  syyy NLC 1 | Điền vào chỗ trống sau: x^2 - [?] = (x-4)(x+4).
  wnuj TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: x^2-y^2 = (x-\dots)(\dots + \dots)
  iqf7 TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: 9x^2-4y^2 = (\dots)^2 - (2y)^2 = (\dots - \dots)(\d
  uk76 TL 2 | Điền vào ô trống và chỗ "..." để đưa biểu thức sau về bình phương của một tổng: (2x+3y)^2 + 2(2x+3y) + 1 = (\d
  11ev TL 2 | Điền vào ô trống và chỗ "..." để đưa biểu thức sau về bình phương của một hiệu: x^2 - 8x + 16 = [?]^2 - 2 \cdo
  j1ez TL 3 | Điền vào ô trống và chỗ "..." để hoàn thành phép biến đổi sau: (2x-1-5x+5)(2x-1+5x-5) = [2x-1-(\dots - \dots)]
  zen1 TL 2 | Điền vào ô trống và chỗ "..." để đưa biểu thức sau về hiệu hai bình phương: (2y-x)(2y+x) = \dots^2 - \dots^2
  1p0b TL 2 | Tính nhanh: 102^2.
  doyv TL 2 | Tính nhanh: 67 \cdot 73.
  j6nq TL 2 | Tính nhanh: 153^2 + 94 \cdot 153 + 47^2.
  qc5l TL 1 | Thực hiện phép tính: (4x-1)^2.
  xx75 TL 1 | Thực hiện phép tính: (x+\frac{1}{2})(x-\frac{1}{2}).
  lqtf TL 1 | Thực hiện phép tính: (x^2 - \frac{1}{3})^2.
  5pi1 TL 1 | Thực hiện phép tính: (10x-2y)(2y+10x).
  63bf TL 2 | Thực hiện phép tính: (a+b+1)(a+b-1).
  mo8q TL 1 | Viết biểu thức sau dưới dạng bình phương của một tổng hoặc hiệu: x^2-6x+9.
  dneh TL 1 | Viết biểu thức sau dưới dạng bình phương của một tổng hoặc hiệu: 25x^2-10x+1.
  6p2s TL 2 | Tính nhanh: 501^2.
  h8zg TL 2 | Tính nhanh: 88^2 + 24 \cdot 88 + 12^2.
  mfqi TL 2 | Tính nhanh: \frac{437^2-363^2}{537^2-463^2}.
  y2s7 TL 1 | Thực hiện phép tính: (x-3)^2-x(x+1).
  632g TL 1 | Thực hiện phép tính: (2x+2)^2-3x^2-(4x+4).
  xv4c TL 1 | Thực hiện phép tính: (x-5)(x+5)-x(x-25)+10.
  j1tp TL 1 | Thực hiện các phép tính sau: (x-2)(x^2+2x+4).
  f8eh TL 1 | Thực hiện các phép tính sau: (2x+1)(4x^2-2x+1).
  yung TL 1 | Thực hiện các phép tính sau: (1-\frac{x}{2})(1+\frac{x}{2}+\frac{x^2}{4}).
  t9qh NLC 2 | Viết (3x-2)(9x^2+6x+4) dưới dạng hiệu ta được:
  8dkb NLC 3 | So sánh M=2^{32} và N=(2+1)(2^2+1)(2^4+1)(2^8+1)(2^{16}+1)
  y4if NLC 1 | Biểu thức (a+b+c)^2 bằng:
  m0ln NLC 1 | Chọn câu sai:
  bmjy NLC 1 | Giá trị của đa thức x^2+2xy+y^2 tại x=9, y=1 là:
  dz36 NLC 2 | Chọn câu "Đúng":
  gjbo NLC 1 | Khai triển 4x^2-25y^2 theo hằng đẳng thức ta được:
  tpgm NLC 1 | Hằng đẳng thức bình phương của một tổng là:
  qkkm TL 1 | Điền các đơn thức hoặc các phép tính thích hợp vào ô trống: (\frac{2}{3}x+3)^2 = [?] x^2 + [?] x + [?].
  dp2y TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: (x^2-2y)^2 = (\dots)^2 - 2 \cdot [?] \cdot [?] + (2
  dvsm TL 2 | Tính nhanh giá trị của biểu thức: C=39^2+78 \cdot 61+61^2.
  hkhd TL 2 | Tính nhanh: 502 \cdot 498.
  3sdc TL 2 | Tính nhanh: 101^2 - 99^2.
  6vdt TL 2 | Thực hiện phép tính: (x+y+1)^2-(x-y)(x+y)-2x-2y.
  z2v9 NLC 1 | Biểu thức thích hợp cần điền vào [?] trong đẳng thức (x - 5y)(x + 5y) = x^2 - [?] là
  szfs TL 1 | Điền các đơn thức thích hợp vào ô trống: (x-\frac{1}{x})^2 = x^2 - [?] + \frac{1}{x^2}.
  9xat TL 1 | Áp dụng hằng đẳng thức hiệu hai bình phương để tính: (\frac{2}{5}u^3-3v^2)(\frac{2}{5}u^3+3v^2).
  yspw TL 1 | Viết đa thức 25x^2-5xy+\frac{1}{4}y^2 dưới dạng bình phương hay lập phương của một tổng hay hiệu.
  pe9w TL 1 | Áp dụng hằng đẳng thức bình phương của một tổng hoặc bình phương của một hiệu để tính: (y-2)^2.
  8qyy TL 2 | Tính giá trị biểu thức: 25^2-15^2.
  hovx TL 2 | Điền vào ô trống và chỗ "..." để đưa biểu thức sau về bình phương của một tổng: 4x^2 + 12xy + 9y^2 = (\dots)^2
  jo05 NLC 1 | Hằng đẳng thức bình phương của một hiệu là:
  3jru NLC 2 | Khai triển (3x-4y)^2 ta được:
  fug1 NLC 2 | Biểu thức \frac{1}{4}x^2y^2+xy+1 bằng:
  k6mu NLC 1 | Hằng đẳng thức hiệu hai bình phương là:
  jrbd TL 2 | Điền vào ô trống và chỗ "..." để đưa biểu thức sau về bình phương của một tổng: x^2 + \frac{2}{3}x + \frac{1}{

### [5] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Chứng minh đẳng thức (4)
    yêu cầu: Vận dụng được hằng đẳng thức bình phương của một tổng, một hiệu hoặc hiệu hai bình phương để chứng minh một đẳng thức đại số.
  f7kz TL 3 | Chứng minh đẳng thức: (x+y)^2-(x-y)^2=4xy.
  n1wn TL 3 | Chứng minh rằng: (a+b-c)^2 + (a-b+c)^2 - 2(b-c)^2 = 2a^2.
  i8ft TL 4 | Chứng minh rằng nếu a^2+b^2+c^2=ab+bc+ca thì a=b=c.
  xlyp TL 3 | Chứng minh đẳng thức: 3(x^2+y^2+z^2)-(x-y)^2-(y-z)^2-(z-x)^2=(x+y+z)^2.

### [6] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Rút gọn và tính giá trị của biểu thức (40)
    yêu cầu: Vận dụng được các hằng đẳng thức đáng nhớ để thu gọn biểu thức và tính giá trị của biểu thức tại giá trị cho trước của biến.
  sfn5 NLC 2 | Rút gọn biểu thức (a+b)^2-(a-b)^2 được kết quả là:
  pinl TL 2 | Rút gọn các biểu thức sau: a) (2x - y)^2 - (2x + y)^2; b) (2x + 5y)^2 + (5x - 2y)^2.
  nvcm TL 2 | Rút gọn các biểu thức sau: a) (x - 4y)^2 - (x + 4y)^2; b) (x + 2y)^2 + (2x - y)^2.
  yx3r TL 2 | Rút gọn rồi tính giá trị của biểu thức sau với x=-19: A=(3x+2)^2+(2x-7)^2-2(3x+2)(2x-7).
  h3sm TL 2 | Cho biểu thức A=5(x+3)(x-3)+(2x+3)^2+(x-6)^2. Rút gọn rồi tính giá trị của biểu thức A với x=-\frac{1}{5}.
  vgiw TL 2 | Cho biết x+y=15 và xy=-100. Tính giá trị của biểu thức B=x^2+y^2.
  hmf7 TL 2 | Rút gọn biểu thức sau: (7x+4)^2-(7x+4)(7x-4).
  4o8i TL 2 | Rút gọn biểu thức sau: (2x+3)^2+(2x-3)^2-2(4x^2-9).
  5ft6 TL 2 | Rút gọn rồi tính giá trị của biểu thức sau với u=\frac{1}{5}: B=(7u+7)^2+(2u+7)^2-2(7u+7)(2u+7).
  3ik6 NLC 2 | Kết quả của biểu thức (x-5)^2 - (x+5)^2 là
  jyrv TL 2 | Rút gọn, sau đó tính giá trị biểu thức sau: A = (5x-2)(5x+2) - (5x+2)^2 + 10 tại x=2.
  qm2g TL 2 | Rút gọn, sau đó tính giá trị biểu thức sau: B = (4x+1)^2 - 4(2x-2)^2 + 2(x-5) tại x=-1.
  oqod TL 2 | Rút gọn, sau đó tính giá trị biểu thức sau: C = x^2 + 2xy + y^2 - 4x - 4y + 1 tại x+y=3.
  xavd TL 2 | Rút gọn, sau đó tính giá trị biểu thức sau: D = (x-1)^2 - 2(x-1)(x+5) + (x+5)^2 + x + 64 tại x=-100.
  mjk6 TL 2 | Rút gọn, sau đó tính giá trị biểu thức sau: B = -(2x-1)^2 + (x+1)^2 + (2x-1)(2x+1) tại x=10.
  6a6j TL 3 | Rút gọn, sau đó tính giá trị biểu thức sau: C = (2x+3)^2 - 2(2x+3)(2x+5) + (2x+5)^2 + y tại x=2022, y=36.
  6xzi TL 2 | Tính nhanh giá trị biểu thức: A=(2x+3)(2x-3)-x(3x-100)-x^2 tại x=\frac{1}{10}.
  97y2 TL 2 | Tính nhanh giá trị biểu thức: B=(3x+y)^2-2y(3x+y)+y^2 tại x=10, y=99.
  9vj8 TL 3 | Cho a - b = 7. Tính giá trị biểu thức A = a^2(a + 1) - b^2(b - 1) - 3ab(a - b + 1) + ab.
  5xn7 TL 2 | Tính nhanh giá trị các biểu thức sau: C = (x^2-2)(x^4+2x^2+4) - x(x^5+1) + 8 tại x=99.
  atua NLC 2 | Giá trị của biểu thức E=(x+1)(x^2-x+1)-(x-1)(x^2+x+1) là:
  kgf8 TL 2 | Rút gọn biểu thức sau: (x+y)^2-(x-y)^2-4xy
  xkau TL 3 | Rút gọn biểu thức sau: (2y-5)(4y^2+10y+25)-8y^2(y-1)+125
  bi90 TL 2 | Cho x-y=7, tính giá trị của biểu thức A=x^2+2x+y(y-2)-2xy
  dcqo TL 2 | Cho x+2y=5. Tính giá trị biểu thức sau: C=x^2+4y^2-2x+10+4xy-4y
  ru2o TL 2 | Rút gọn biểu thức (5x+2)^2 - (5x+2)(5x-2)
  md8g TL 2 | Rút gọn biểu thức (4x+3)^2 - (4x+3)(4x-3)
  icdi TL 1 | Thực hiện phép tính sau: (x+2)^2 + (x-3)(x+3) - 2x^2
  xw7h TL 1 | Thực hiện phép tính sau: (x-3)^2 + (x-4)(x+4) - 2x^2
  0qjv TL 4 | *. Cho các số thực  x, y thỏa mãn  x^2 + 5y^2 - 4xy - 4x + 2y + 13 = 0. Tính giá trị  M = (x - 9)^{2023} + (y 
  g8gu TL 2 | Thực hiện phép tính sau: (x-1)^2+(x-2)(x+2)-2x^2
  i8ni TL 4 | Cho các số thực x,y thỏa mãn 2x^2-2xy+y^2-2x-4y+13=0. Tính giá trị biểu thức P=(2x-5)^{11}+(y-6)^{2023}.
  vv1u TL 4 | a) Cho các số thực x, y thỏa mãn 2x^2 - 2xy + y^2 - 2x - 4y + 13 = 0. Tính giá trị biểu thức P = (2x - 5)^{11}
  t28b NLC 2 | Giá trị của đa thức x^2 + 2xy + y^2 tại x = 9, y = 11 là:
  pn35 TL 2 | Rút gọn, sau đó tính giá trị biểu thức sau: E = (3x+4)^2 - (9x^2-6x+1) - 20x tại x=-\frac{1}{10}.
