Chương 3. Tứ giác · lớp 8 · 32 dạng · 269 câu


### [1] Bài 1. Tứ giác | Tính số đo góc (25)
    yêu cầu: Tính được số đo các góc của một tứ giác dựa vào định lí tổng các góc trong một tứ giác.
  7jlq NLC 2 | Một tứ giác có một cặp góc đối là 125° và 65°, cặp góc đối còn lại của tứ giác đó có thể là: A. 115° và 65° B.
  qvyu NLC 2 | Số đo các góc của tứ giác ABCD theo tỉ lệ \widehat A:\widehat B:\widehat C:\widehat D = 4:3:2:1. Số đo các góc
  oj17 TL 2 | Ba góc ngoài tại ba đỉnh A, B, C của tứ giác ABCD lần lượt là 40^\circ; 70^\circ; 120^\circ. Tính số đo của gó
  0dj5 TL 2 | Tổng số đo ba góc của một tứ giác hơn số đo góc thứ tư là 220^\circ. Tính số đo góc thứ tư.
  00wd TL 3 | Chứng minh rằng trong một tứ giác, tổng hai góc ngoài tại hai đỉnh bằng tổng hai góc trong tại các đỉnh còn lạ
  qv89 TL 4 | Cho tứ giác ABCD. Các tia phân giác của góc A và góc B cắt nhau tại M. Các tia phân giác của góc C và góc D cắ
  ynyq NLC 2 | Các góc của tứ giác có thể là
  zewq NLC 1 | Cho tứ giác ABCD có \widehat{A}=50^\circ; \widehat{C}=150^\circ; \widehat{D}=45^\circ. Số đo góc ngoài tại đỉn
  yuj5 NLC 2 | Cho tứ giác ABCD, trong đó \widehat{A} + \widehat{B} = 140^\circ. Tổng \widehat{C} + \widehat{D} bằng
  ladk NLC 1 | Cho tứ giác ABCD như hình vẽ dưới đây. Tính \widehat{B} [HÌNH VẼ]
  xhe0 NLC 2 | Cho tứ giác ABCD như hình vẽ dưới đây, biết \widehat{O}=90^\circ; \widehat{A}=120^\circ. Tính \widehat{B} [HÌN
  hmwy NLC 2 | Khi đó tứ giác ABCD biết số đo của các góc \widehat{A}; \widehat{B}; \widehat{C}; \widehat{D} tỉ lệ thuận với 
  gtib TL 1 | Tính số đo x, y trong các hình sau: [HÌNH VẼ]
  p7eo TL 2 | Cho tứ giác ABCD có \widehat{C}=50^\circ, \widehat{D}=60^\circ; \frac{\widehat{A}}{3} = \frac{\widehat{B}}{2}.
  v708 TL 2 | Cho tứ giác MNPQ có \widehat{N}=\widehat{M}+10^\circ, \widehat{P}=\widehat{N}+10^\circ, \widehat{Q}=\widehat{P
  60he TL 2 | Cho tứ giác ABCD, AB // CD; \widehat{ABC}=135^\circ; \widehat{ACB}=24^\circ; \widehat{ADC}=60^\circ. Tính số đ
  b51b TL 3 | Cho tứ giác ABCD có \widehat{D}=72^\circ, \widehat{C}=68^\circ. Hai tia phân giác của \widehat{A}, \widehat{B}
  0ohc TL 2 | Cho tứ giác ABCD, biết rằng \frac{\widehat{A}}{1} = \frac{\widehat{B}}{2} = \frac{\widehat{C}}{3} = \frac{\wid
  orph TL 2 | Tứ giác ABCD có \widehat{C} = 60^\circ, \widehat{D} = 80^\circ, \widehat{A} - \widehat{B} = 10^\circ. Tính số 
  g402 TL 2 | Cho hình vẽ bên. Chứng minh tổng bốn góc ngoài của tứ giác ABCD bằng 360^\circ (\widehat{A_1} + \widehat{B_1} 
  as9u TL 2 | Tìm số đo x trong hình bên. [HÌNH VẼ] Tứ giác ABCD có góc ngoài tại đỉnh B là 70^\circ. Góc trong \widehat{C} 
