Chương 2. Phương trình và bất phương trình bậc nhất một ẩn · lớp 9 · 15 dạng · 498 câu


### [1] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải bài toán bằng cách lập phương trình (23)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn bằng cách lập phương trình quy về phương trình bậc nhất một ẩn.
  k2kg TL 3 | Một người đạp xe từ nhà đến xưởng làm việc với vận tốc 15 km/h. Khi tan làm, do xe hỏng nên người đó phải đi b
  ck92 TL 3 | Hai máy in cùng hoạt động thì hoàn thành một lô tài liệu trong 10 giờ. Hai máy cùng chạy được 4 giờ thì máy th
  ru4p TL 3 | Hai đội công nhân cùng thi công rải nhựa một đoạn đường thì sau 12 ngày sẽ hoàn thành công việc. Hai đội cùng 
  1nzg TL 3 | Một chiếc ca nô đi từ bến A đến đảo B với vận tốc 30 km/h, rồi từ đảo B quay ngay về bến A với vận tốc 20 km/h
  89ue TL 2 | Một trang trại có mảnh đất hình chữ nhật kích thước chiều dài 30 m và chiều rộng 24 m. Chủ trang trại muốn đào
  fa37 TL 3 | Bác An có một mảnh đất hình chữ nhật với chiều dài 14 m và chiều rộng 12 m. Bác dự định xây nhà trên mảnh đất 
  amf1 TL 2 | Một khu du lịch có mảnh đất hình chữ nhật với chiều dài 20 m và chiều rộng 15 m. Người ta dự định xây một bể b
  rkzt TL 3 | Một người đi xe đạp từ tỉnh A đến tỉnh B cách nhau 50km. Sau đó 1 giờ 30 phút một xe máy cũng đi từ tỉnh A đến
  6j44 TL 3 | Một xe tải đi từ A đến B với vận tốc 50 km/h. Đi được 24 phút thì gặp đường xấu nên vận tốc trên quãng đường c
  3cer TL 3 | Một ô tô phải đi quãng đường AB dài 60 km trong một thời gian nhất định. Xe đi nửa đầu quãng đường với vận tốc
  dn7d TL 3 | Một ô tô đi quãng đường dài 60 km trong một thời gian đã định. Ô tô đi nửa quãng đường đầu với vận tốc hơn dự 
  52qq TL 3 | Một máy bay trực thăng chở hàng cứu trợ bay từ trạm trung chuyển C đến vùng lũ D với tốc độ 60 km/h. Sau khi t
  kac8 TL 3 | Một người đi xe gắn máy, đi từ địa điểm A đến địa điểm B trên một quãng đường dài 35km. Lúc trở về người đó đi
  amc8 TL 3 | Một xe ô tô đi từ Hà Nội về Thanh Hoá. Sau khi đi được 43 km thì dừng lại 40 phút. Để về đến Thanh Hoá đúng gi
  suhr TL 3 | Hai người cùng làm chung một công việc thì xong trong 8 giờ. Hai người cùng làm được 4 giờ thì người thứ nhất 
  3jdf TL 2 | Một xe vận tải đi từ địa điểm A đến địa điểm B với vận tốc 50 km/h, rồi từ B quay ngay về A với vận tốc 40 km/
  ju3t TL 3 | Một hãng viễn thông nước ngoài có hai gói cước như sau: - Gói cước A: Cước thuê bao hằng tháng 32 USD, 45 phút
  gvsd TL 2 | Để loại bỏ x\% một loại tảo độc khỏi một hồ nước, người ta ước tính chi phí cần bỏ ra là C(x) = \frac{50x}{100
  jqyo TL 3 | Một vận động viên chạy việt dã dự định chạy từ điểm xuất phát M đến đích N với vận tốc 15 km/h. Sau khi chạy đ
  aw3i TL 3 | Một tàu chở hàng dự định đi từ cảng P đến cảng Q với tốc độ 40 km/h. Sau khi đi được 1 giờ 30 phút thì gặp bão
  e10x TL 3 | Một thiết bị bay không người lái (drone) giao hàng dự định bay từ kho hàng E đến điểm nhận F với vận tốc 60 km
  w7qj TL 3 | Hai vòi nước cùng chảy vào một bể rỗng thì sau 6 giờ đầy bể. Người ta mở cả hai vòi chảy trong 2 giờ, sau đó k
  651a TL 2 | Trong một trung tâm sự kiện, một gian hàng triển lãm được dựng trên mảnh đất hình chữ nhật có chiều dài 25 m v

### [2] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải phương trình đưa về phương trình tích (77)
    yêu cầu: Giải được phương trình bằng cách chuyển vế, phân tích đa thức thành nhân tử để đưa về phương trình tích.
  j083 TL 2 | Giải phương trình sau: 0,5x(x - 3) = (x - 3)(1,5x - 1)
  knsg TL 2 | Giải phương trình sau: \frac{3}{7}x - 1 = \frac{1}{7}x(3x - 7)
  dg43 TL 2 | Giải phương trình sau: 3x - 15 = 2x(x - 5)
  6m5i TL 3 | Giải phương trình sau: (3x - 1)(x^2 + 2) = (3x - 1)(7x - 10)
  4m5s TL 2 | Giải phương trình: (3-2x)^2+4x^2-9=0
  w2ph TL 2 | Giải phương trình: (2x+7)^2=9(x+2)^2
  wjbv TL 3 | Giải phương trình: (x+2)^2=9(x^2-4x+4)
  oltg TL 2 | Giải phương trình: 4(2x+7)^2-9(x+3)^2=0
  eyg9 TL 3 | Giải phương trình: (5x^2-2x+10)^2=(3x^2+10x-8)^2
  6729 TL 2 | Giải phương trình: (2x-1)^2+(x-3)(2x-1)=0
  yy2h TL 3 | Giải phương trình: 4(3x-2)+(2-3x)^3=0
  5k2i TL 3 | Giải phương trình: (x-1)(x^2-9)=-x-3
  7ee6 TL 2 | Giải phương trình: (5x-3)^2-(4x-7)^2=0
  a0fj TL 2 | Giải phương trình: (x+1)^2+2(x+1)+1=0
  or5r TL 2 | Giải phương trình: 9x^2-1=(3x+1)(2x-3)
  pcia TL 2 | Giải phương trình: 2(9x^2+6x+1)=(3x+1)(x-2)
  kpv1 TL 2 | Giải phương trình: 27x^2(x+3)-12(x^2+3x)=0
  l8s3 TL 2 | Giải phương trình: 16x^2-8x+1=4(x+3)(4x-1)
  zo0y TL 2 | Giải phương trình: 3x^2-11x+6=0
  u5j8 TL 2 | Giải phương trình: -2x^2+5x-3=0
  fkpq TL 2 | Giải phương trình: x^2-4x-5=0
  pzu1 TL 3 | Giải phương trình: 2x^4+3x^2-5=0
  qpc7 TL 3 | Giải phương trình: (x-1)^2-1+x^2=(1-x)(x+3)
  nauv TLN 2 | Giải x(x - 3) = 2(x - 3) và cho biết tổng các nghiệm.
  j994 TL 3 | Giải phương trình: x^3-7x+6=0
  prze TL 3 | Giải phương trình sau: x^2+(x+2)(11x-7)=4
  bl2l TL 2 | Giải phương trình sau: x^3-x(x+1)+1=0
  e3lo TL 2 | Giải phương trình sau: x^3+x^2+x+1=0
  3ear TL 2 | Giải phương trình: x^2+7x+12=0
  fai2 TL 2 | Giải phương trình: (x+2)(3-4x)=x^2+4x+4
  lfa2 TL 2 | Giải phương trình: (2x+5)(x-4)=(x-5)(4-x)
  w08f TL 3 | Giải phương trình sau: x^4+2x^3-2x^2+2x-3=0
  3kjs TL 3 | Cho phương trình: 2x^3+5x^2-8x-4m=0 (1). Biết x=-2 là một nghiệm của phương trình (1). Tìm các nghiệm còn lại 
  6vmr TL 3 | Giải phương trình sau: (x + 1 + \frac{1}{x})^2 = (x - 1 - \frac{1}{x})^2
  6ao9 TL 2 | Giải phương trình sau: 4x^2 + 4x + 1 = x^2
  kkf8 TL 3 | Giải phương trình: x^3-4x^2+4-x=0
  643c TL 3 | Giải phương trình: x^4+2x^3+5x^2+4x-12=0
  ip1o TL 2 | Giải phương trình sau: x(x+1) = 2(x^2-1)
  j7wf TL 2 | Giải phương trình: 2x(3x-1)=(3x-1)
  rymv TL 2 | Giải phương trình: (x+2)^3-9(x+2)=0
  e8im TL 2 | Giải phương trình: 9(2x+1)^2-4(x+1)^2=0
  kspa TL 2 | Giải phương trình sau: (x^2 - 2x + 1) - 4 = 0
  16cd TL 2 | Giải phương trình: (x-2)^2-(2x+3)^2=0
  kvd2 TL 2 | Giải phương trình: (x-2)(3x+5)=(2x-4)(x+1)
  h6nr TL 2 | Giải phương trình: x^4-8x^3-9x^2=0
  kjvz TL 3 | Giải phương trình: (9x^2-4)(x+1)=(3x+2)(x^2-1)
  jv8r TL 3 | Giải phương trình: x^5-5x^3+4x=0
  xk2k TL 3 | Giải phương trình: (x^2-1)(x+2)(x-3)=(x-1)(x^2-4)(x+5)
  l6tv TL 3 | Giải phương trình: x^4-4x^3+3x^2+4x-4=0
  vspj TL 3 | Giải phương trình: x^4+x^3+x+1=0
  3oaj TL 3 | Giải phương trình: x^4-4x^3+12x-9=0
  nwzw TL 3 | Giải phương trình: \frac{7-x}{2} + \frac{2}{3}(x-7)(x-3)=0
  z2uy NLC 3 | Biết rằng phương trình (x^2 - 1)^2 = 4x + 1 có nghiệm lớn nhất là x_0. Chọn khẳng định đúng.
  nzlo TL 2 | Giải phương trình: 3(x-5)(x+2)=x^2-5x
  flb3 TL 2 | Giải phương trình: (x-1)(2x+3)+2x=2
  7z63 TL 2 | Giải phương trình: (x-3)^2=(2x+7)^2
  lurk TL 3 | Giải phương trình: 2(x+2)^2-x^3-8=0
  e4al TL 3 | Giải phương trình: (x-1)(x^2+5x-2)-x^3+1=0
  j75d TL 2 | Giải phương trình sau: 2x^3 + 6x^2 = x^2 + 3x
  7edb TL 2 | Giải phương trình sau: (x^2 - 4) + (x - 2)(3 - 2x) = 0
  cyrk TL 2 | Giải phương trình sau: x^3 - 3x^2 + 3x - 1 = 0
  6upy TL 2 | Giải phương trình sau: x(2x - 7) - 4x + 14 = 0
