Chương 3. Căn bậc hai và căn bậc ba · lớp 9 · 23 dạng · 474 câu


### [1] Bài 1. Căn bậc hai và căn thức bậc hai | Ứng dụng thực tế của căn bậc hai (37)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn liên quan đến căn bậc hai (độ dài, diện tích, tốc độ, công thức vật lí).
  0rqa TL 2 | Sử dụng công thức tìm được trong câu viết công thức tính thời gian t, hãy trả lời câu hỏi trong tình huống mở 
  p5bk TL 2 | Trong Vật lí, quãng đường S (tính bằng mét) của một vật rơi tự do được cho bởi công thức S = 4,9t^2, trong đó 
  thmg TL 2 | Đại Kim tự tháp Giza là Kim tự tháp Ai Cập lớn nhất và là lăng mộ của Vương triều thứ Tư của pharaoh Khufu. Nề
  acy6 TL 2 | Viết biểu thức tính độ dài cạnh huyền BC của tam giác vuông ABC, biết AB = 3 cm và AC = x cm.
  npi6 TL 2 | Trở lại tình huống mở đầu. Viết công thức tính thời gian t (giây) cần thiết để vật rơi được quãng đường S (mét
  2zjh TL 2 | Để chuẩn bị trồng cây trên vỉa hè, người ta để lại những ô đất hình tròn có diện tích khoảng 2 \text{ m}^2. Em
  19kp TL 2 | Vận tốc lăn v (tính bằng m/s) của một vật thể nặng m (tính bằng kg) được tác động một lực E_k (gọi là năng lượ
  s571 TL 2 | Galilei là người phát hiện ra quãng đường chuyển động của vật rơi tự do tỉ lệ thuận với bình phương của thời g
  aey5 TL 2 | Tốc độ của một chiếc canô và độ dài đường sóng nước để lại sau đuôi của nó được cho bởi công thức v = 5\sqrt{l
  623e TL 2 | Một trạm phát sóng được đặt ở vị trí B cách đường tàu một khoảng AB = 300 m. Đầu tàu đang ở vị trí C, cách vị 
  czkw TL 2 | Một thiết bị khảo sát được thả rơi tự do từ miệng một hố vực sâu trên Mặt Trăng. Quãng đường rơi s (mét) của t
  kgg3 TL 2 | Một chiếc thang dài 5 m tựa vào bức tường như hình vẽ. [HÌNH VẼ] b) Tính độ cao trên khi x nhận giá trị lần lư
  ifx3 TL 2 | Hệ quả của hiện tượng nóng lên toàn cầu là băng của một số sông băng đang tan chảy. Mười hai năm sau khi băng 
  ek3h TL 3 | Biết rằng hình A và hình vuông B trong hình vẽ dưới có diện tích bằng nhau. Tính độ dài cạnh x của hình vuông 
  jf8r TL 2 | Vận tốc v (m/s) của một tàu lượn di chuyển trên một cung tròn có bán kính r (m) được cho bởi công thức: v = \s
  b6zi TL 3 | Giông bão thổi mạnh, một cây bị gãy gập xuống làm ngọn cây chạm đất và tạo với phương nằm ngang một góc 45^\ci
  g79m TL 2 | Vận tốc v (m/s) của một tàu lượn di chuyển trên một cung tròn có bán kính r (m) được cho bởi công thức: v = \s
  lu2y TL 2 | Một trạm phát sóng được đặt ở vị trí B cách đường tàu một khoảng AB = 300 m. Đầu tàu đang ở vị trí C, cách vị 
  89mp TL 2 | Hai bến thuyền A và B nằm sát con đường vuông góc với nhau cách chỗ giao nhau lần lượt là 2 km và 3 km (hình v
  q5gg TL 3 | Cửa hàng điện máy xanh trưng bày một chiếc ti vi màn hình phẳng 55 in, tức là độ dài đường chéo của màn hình t
  pg0c TL 2 | Quãng đường phanh d (tính bằng mét) của một chiếc xe máy đang di chuyển với tốc độ v (tính bằng km/h) cho đến 
  f2rf TL 3 | Quãng đường đi của một vật rơi tự do không vận tốc đầu cho bởi công thức S = \frac{1}{2}gt^2 (trong đó g là gi
  nx9c TL 3 | Tốc độ của con sóng thần và chiều sâu của đại dương liên hệ bởi công thức s = \sqrt{dg}. Trong đó, g = 9,81\te
  6wk1 TL 3 | Trên cần trục ở hình vẽ, hai trụ a và b đứng cách nhau 20 m, hai xà ngang c và d lần lượt có độ cao 20 m và 45
  578j TL 1 | Để lái xe an toàn khi đi qua đoạn đường có dạng cung tròn, người lái cần biết tốc độ tối đa cho phép là bao nh
  hi1n TL 2 | Vận tốc lăn v (tính bằng m/s) của một vật thể nặng m (tính bằng kg) được tác động một lực E_k (gọi là năng lượ
  eyrw TL 2 | Một xe ô tô điện bắt đầu tăng tốc chuyển động trên một đoạn đường thẳng. Quãng đường s (mét) mà xe đi được sau
  hg39 TL 2 | Tốc độ của con sóng thần và chiều sâu của đại dương liên hệ bởi công thức s = \sqrt{dg}. Trong đó, g = 9,81\te
  q70l TL 3 | Có hai xã cùng ở một bên bờ sông. Người ta đo được khoảng cách từ trung tâm A, B của hai xã đó đến bờ sông lần
  o3k0 TL 3 | Kích thước màn hình ti vi hình chữ nhật được xác định bởi độ dài đường chéo. Một loại ti vi có tỉ lệ hai cạnh 
  4hg7 TL 2 | Một chiếc thang dài 5 m tựa vào bức tường như hình vẽ. [HÌNH VẼ] a) Nếu chân thang cách chân tường x (m) thì đ
  qmqk TL 3 | Kích thước màn hình ti vi hình chữ nhật được xác định bởi độ dài đường chéo. Một loại ti vi có tỉ lệ hai cạnh 
  oesh TL 2 | Điện áp V (tính theo volt) yêu cầu cho một mạch điện được cho bởi công thức V = \sqrt{PR}, trong đó P là công 
  kyek TL 3 | Điện áp V (tính theo volt) yêu cầu cho một mạch điện được cho bởi công thức V = \sqrt{PR}, trong đó P là công 
  bu7s TL 3 | Tốc độ của một chiếc canô và độ dài đường sóng nước để lại sau đuôi của nó được cho bởi công thức v = 5\sqrt{l
  vvrz TL 3 | Thời gian t (tính bằng giây) từ khi một người bắt đầu nhảy bungee trên cao cách mặt nước d (tính bằng m) đến k
  3d18 TL 2 | Thời gian t (tính bằng giây) từ khi một người bắt đầu nhảy bungee trên cao cách mặt nước d (tính bằng m) đến k

### [2] Bài 1. Căn bậc hai và căn thức bậc hai | Tìm điều kiện xác định của căn thức bậc hai (15)
    yêu cầu: Xác định được điều kiện để căn thức bậc hai có nghĩa và kiểm tra được giá trị của biến có thoả mãn điều kiện không.
  ypft TL 1 | Cho căn thức \sqrt{5 - 2x}. Tìm điều kiện xác định của căn thức.
