Chương 4. Hệ thức lượng trong tam giác vuông · lớp 9 · 10 dạng · 98 câu


### [1] Bài 1. Tỉ số lượng giác của góc nhọn | Tính tỉ số lượng giác của góc nhọn trong tam giác vuông (17)
    yêu cầu: Nhận biết được các tỉ số lượng giác sin, cos, tan, cot của góc nhọn và tính được chúng khi biết độ dài các cạnh của tam giác vuông.
  na6q TL 1 | Cho tam giác ABC vuông tại A, có AB = 5 cm, AC = 12 cm. Hãy tính các tỉ số lượng giác của góc B.
  9hcw TL 2 | Tam giác ABC cân tại A, có BC = 6, đường cao AH = 4. Tính các tỉ số lượng giác của góc B.
  t1tt TLN 2 | Tính \tan C trong hình dưới đây (làm tròn kết quả đến hai chữ số thập phân). ![Hình ảnh](https://cmjithgtecypx
  ukil TLN 3 | Tam giác vuông có hai cạnh góc vuông 9 cm và 12 cm. Tính sin của góc đối diện cạnh 9 cm.
  4kcd TLN 3 | Tính \sin 30^\circ.
  yuqa TLN 3 | Tính \tan 45^\circ.
  02l0 TLN 3 | Tính \cos 60^\circ.
  0gjx TLN 4 | Nếu \alpha + \beta = 90^\circ và \sin \alpha = 0,6, tính \cos \beta.
  pn1g TLN 3 | Cho góc nhọn \alpha có \tan \alpha = \frac{5}{12}. Tính \sin \alpha.
  pldz NLC 1 | Biết  27^{\circ} + 63^{\circ} = 90^{\circ}. Khẳng định nào đúng?
  kuvv NLC 2 | Cho tam giác  ABC vuông tại  A,  AC = 8, AB = 15. Giá trị  \tan B bằng
  b6do TL 1 | Cho tam giác ABC vuông tại C. Trong đó AC = 0{,}9 m, BC = 1{,}2 m. Tính các tỉ số lượng giác của góc B. Từ đó 
  63m4 TL 1 | Cho tam giác ABC vuông tại A. Biết AB = 3 cm, AC = 4 cm. Tính các tỉ số lượng giác của góc nhọn B.
  1jtm TL 2 | Tam giác ABC vuông tại A, AB = 1{,}5 cm; BC = 3{,}5 cm. Tính tỉ số lượng giác của góc C rồi suy ra các tỉ số l
  pzre TL 1 | Cho tam giác ABC vuông tại A. Hãy tính tỉ số lượng giác của góc B và góc C nếu biết: a) AB = 3 cm, AC = 4 cm; 
  rfon TL 2 | Cho tam giác ABC vuông tại B có đường cao BH. Hãy tính các tỉ số lượng giác của góc A rồi suy ra các tỉ số lượ
  fvzh TLN 3 | Cho góc nhọn \alpha có \sin \alpha = \frac{3}{5}. Tính \cos \alpha.

### [2] Bài 1. Tỉ số lượng giác của góc nhọn | Tỉ số lượng giác của hai góc phụ nhau và các góc đặc biệt (15)
    yêu cầu: Vận dụng được quan hệ giữa tỉ số lượng giác của hai góc phụ nhau và bảng giá trị của các góc 30°, 45°, 60° để tính toán.
  fv1m TL 1 | Hãy viết tỉ số lượng giác của các góc sau thành tỉ số lượng giác của các góc nhỏ hơn 45^\circ: \sin 75^\circ, 
  o40e TL 2 | Sắp xếp các tỉ số lượng giác sau theo thứ tự tăng dần: a) \cot 40^\circ, \tan 40^\circ, \cot 43^\circ, \tan 42
  fekx TLN 1 | Tính giá trị của biểu thức A = \dfrac{\sin 32^\circ}{\cos 58^\circ}.
  h4u2 TLN 1 | Tính giá trị của biểu thức B = \tan 76^\circ - \cot 14^\circ.
  x7kt TLN 2 | Tính giá trị của biểu thức A = \cos^2 18^\circ + \cos^2 52^\circ + \cos^2 38^\circ + \cos^2 72^\circ.
  0x15 TLN 3 | Tính giá trị của biểu thức B = \sin^2 1^\circ + \sin^2 3^\circ + \sin^2 5^\circ + \ldots + \sin^2 87^\circ + \
  ji5o TLN 2 | Tính giá trị của biểu thức C = \tan 5^\circ \cdot \tan 10^\circ \cdot \tan 15^\circ \cdots \tan 80^\circ \cdot
  ep42 TLN 2 | Tính giá trị của biểu thức M = 4\cos^2 45^\circ + \sqrt{3}\cot 30^\circ - 16\cos^3 60^\circ.
  c1si TL 2 | Không dùng máy tính hoặc bảng số, hãy sắp xếp các tỉ số lượng giác sau theo thứ tự tăng dần: \sin 41^\circ; \c
  r3mi TLN 2 | Tính giá trị của biểu thức P = \sin^2 30^\circ - \sin^2 40^\circ - \sin^2 50^\circ + \sin^2 60^\circ.
  cjtm TLN 2 | Tính giá trị của biểu thức Q = \cos^2 25^\circ - \cos^2 35^\circ + \cos^2 45^\circ - \cos^2 55^\circ + \cos^2 
  el2n TL 2 | Sắp xếp các tỉ số lượng giác sau theo thứ tự tăng dần: a) \sin 70^\circ, \cos 30^\circ, \cos 40^\circ, \sin 51
  26dw TLN 2 | Tính giá trị của biểu thức N = \dfrac{2\sin 30^\circ - \sin 60^\circ}{\cos^2 30^\circ - \cos 60^\circ} (làm tr
  8wu7 TLN 2 | Không dùng máy tính hoặc bảng số, hãy tính giá trị của biểu thức M = \sin^2 20^\circ + \cos^2 30^\circ - \sin^
  5cr4 TL 1 | Hãy viết các tỉ số lượng giác sau thành tỉ số lượng giác của các góc nhỏ hơn 45^\circ: \sin 60^\circ, \cos 75^

### [3] Bài 1. Tỉ số lượng giác của góc nhọn | Dùng máy tính cầm tay tính tỉ số lượng giác và tìm góc (10)
    yêu cầu: Sử dụng được máy tính cầm tay để tính tỉ số lượng giác của một góc nhọn và tìm góc khi biết một tỉ số lượng giác.
  sotc TLN 2 | Một chiếc thang có chiều dài AB = 4 m được đặt dựa vào tường, khoảng cách từ chân thang B đến chân tường H là 
  wo4f TLN 2 | Một con sông rộng 250 m. Một chiếc đò ngang chèo vuông góc với dòng nước, nhưng vì nước chảy nên phải di chuyể
  qq9y TLN 3 | Một vận động viên đánh quần vợt đang giao banh. Từ độ cao h, anh ta muốn banh rơi ở vị trí cách lưới 6 m như h
  d2pq TLN 3 | Một vận động viên đánh quần vợt đang giao banh từ độ cao h (m), cách lưới 12 m; lưới cao 0{,}9 m; banh bay the
  rtv5 TLN 3 | Một bức tượng mỹ thuật có chiều cao 4 m. Một người đang đứng cách chân tượng 5 m và mắt người ấy cách mặt đất 
  txgs TLN 4 | Tam giác vuông có tan của một góc nhọn bằng 0,8 (H.20) [CÓ HÌNH ẢNH KÈM THEO]. Tính góc đó (làm tròn đến độ).
  0e3b NLC 1 | Giá trị của  \sin 30^{\circ} bằng
  k4ep TLN 2 | Treo quả cầu kim loại nhỏ vào giá thí nghiệm bằng sợi dây mảnh nhẹ không dãn. Khi quả cầu đứng yên tại vị trí 
  zwnu TLN 2 | Đài quan sát ở Toronto, Ontario (Canada) cao 533 m. Ở một thời điểm vào ban ngày, mặt trời chiếu thành bóng dà
  e8kq TLN 2 | Trên một khúc sông với hai bờ song song với nhau, có một chiếc đò dự định chèo qua sông từ vị trí A ở bờ bên n

### [4] Bài 1. Tỉ số lượng giác của góc nhọn | Tính giá trị, rút gọn biểu thức lượng giác (6)
    yêu cầu: Tính được giá trị và rút gọn được biểu thức chứa các tỉ số lượng giác của góc nhọn dựa vào các hệ thức cơ bản.
  4t8n TL 2 | Biết \sin\alpha = \dfrac{5}{13}. Tính \cos\alpha, \tan\alpha và \cot\alpha.
  jhbg TL 2 | Cho góc nhọn \alpha có \sin\alpha = \dfrac{3}{5}. Hãy tính \cos\alpha, \tan\alpha, \cot\alpha.
  2w7d TLN 3 | Tính giá trị của biểu thức A = \cos^2\alpha - \tan 60^\circ + \cot 45^\circ - 2\sin 30^\circ + \cos^2\alpha \c
  5k5k TLN 2 | Rút gọn biểu thức B = \sin^4\alpha + \cos^4\alpha + 2\sin^2\alpha\cos^2\alpha với 0^\circ < \alpha < 90^\circ.
  qyfc TLN 3 | Rút gọn biểu thức C = \sin^6\alpha + \cos^6\alpha + 3\sin^2\alpha\cos^2\alpha với 0^\circ < \alpha < 90^\circ.
  n3o0 TL 2 | a) Cho biết \sin\alpha = 0{,}6; tính \cos\alpha, \tan\alpha, \cot\alpha. b) Cho biết \tan\alpha = \dfrac{1}{\s

### [5] Bài 1. Tỉ số lượng giác của góc nhọn | Chứng minh hệ thức lượng giác (7)
    yêu cầu: Chứng minh được các hệ thức giữa các tỉ số lượng giác của một góc nhọn (sin² + cos² = 1, tan = sin/cos, tan·cot = 1).
  x7br TL 2 | Cho góc nhọn \alpha. Chứng minh rằng: 1 + \tan^2\alpha = \dfrac{1}{\cos^2\alpha} và 1 + \cot^2\alpha = \dfrac{
  mamz TL 3 | Chứng minh rằng \dfrac{1 - 4\sin^2\alpha \cdot \cos^2\alpha}{(\sin\alpha - \cos\alpha)^2} = (\sin\alpha + \cos
  09a8 TL 3 | Cho tam giác nhọn ABC có diện tích S, đường cao AH = h. Cho biết S = h^2. Chứng minh rằng \cot B + \cot C = 2.
  pyx8 TL 4 | Cho tam giác ABC vuông tại A, AB < AC, \widehat{C} = \alpha < 45^\circ, đường trung tuyến AM, đường cao AH và 
  j7ox TL 3 | Cho góc nhọn \alpha. Chứng minh rằng: a) \sin\alpha < \tan\alpha; b) \tan^2\alpha - \sin^2\alpha = \tan^2\alph
  sc9a TL 4 | Cho tam giác nhọn ABC có hai đường cao AD và BE cắt nhau tại H. Biết HD : HA = 1 : 2. Chứng minh rằng \tan B \
  zu7q TL 3 | Chứng minh rằng với góc nhọn \alpha (và \tan\alpha \ne 1): a) \dfrac{1 + \cos\alpha}{\sin\alpha} = \dfrac{\sin

### [6] Bài 2. Một số hệ thức giữa cạnh, góc trong tam giác vuông và ứng dụng | Ứng dụng thực tế: tính chiều cao, khoảng cách, góc nâng, góc hạ (15)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn về tính chiều cao, khoảng cách không đo trực tiếp được bằng tỉ số lượng giác của góc nhọn.
  xh6w TLN 2 | Một cột đèn AB cao 6 m có bóng in trên mặt đất là AC dài 3{,}5 m. Hãy tính góc \widehat{BCA} mà tia sáng mặt t
  hr1s TLN 2 | Một cầu trượt trong công viên có độ dốc là 28^\circ và có độ cao là 2{,}1 m. Tính độ dài của mặt cầu trượt the
  n5q2 TLN 3 | Khoảng cách giữa hai chân tháp AB và MN là a (như hình vẽ). Từ đỉnh A của tháp AB nhìn lên đỉnh M của tháp MN 
  uoch TL 3 | Hai con thuyền P và Q cách nhau 300 m và thẳng hàng với chân B của tháp hải đăng ở trên bờ biển. Từ P và Q ngư
  0zyl TLN 3 | Từ trên một ngọn hải đăng cao 75 m, người ta quan sát hai lần thấy một chiếc thuyền đang hướng về phía hải đăn
